"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2023-07-11T23:41:29Z"
"Version","20230711234129"
"OfferCode","AmazonS3"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Availability","Storage Class","Volume Type","Fee Code","Fee Description","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Durability","From Region Code","Overhead","Region Code","serviceName","To Region Code"
"BHKVU9ZBD9TWSRKF","JRTCKXETXF","BHKVU9ZBD9TWSRKF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0 per Requests for Requests-INT-DAA-Tier3:RestoreObject in Asia Pacific (Hyderabad)","2023-07-01","0","Inf","Requests","0.0000000000","USD",,"AmazonS3","Asia Pacific (Hyderabad)","AWS Region",,,,,,"S3-API-DAA-TIER3","Standard INT Restore Requests",,,,,,"APS5-Requests-INT-DAA-Tier3","RestoreObject",,,,"ap-south-2","Amazon Simple Storage Service",
"BHMV8JYNTHXA4D3G","JRTCKXETXF","BHMV8JYNTHXA4D3G.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.036 per 1,000 Glacier Requests in Cape Town","2023-07-01","0","Inf","Requests","0.0000360000","USD",,"AmazonS3","Africa (Cape Town)","AWS Region",,,,,,"S3-API-Tier3","Lifecycle Transition Requests into Glacier",,,,,,"AFS1-Requests-Tier3","S3-GlacierTransition",,,,"af-south-1","Amazon Simple Storage Service",
"BHPUQG48M3HYZQ6A","JRTCKXETXF","BHPUQG48M3HYZQ6A.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0033 per GB - Asia Pacific (Tokyo) InterRegion Outbound Base Data Transfer for MRAP to Asia Pacific (Mumbai)","2023-07-01","0","Inf","GB","0.0033000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Outbound","Asia Pacific (Tokyo)","AWS Region","Asia Pacific (Mumbai)","AWS Region","APN1-APS3-MRAP-Out-Bytes","MRAP-Dtransfer",,"ap-northeast-1",,,"Amazon Simple Storage Service","ap-south-1"
"BHZW93SWJVPJ4SK8","JRTCKXETXF","BHZW93SWJVPJ4SK8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per GB - for bytes returned by S3 Select in Standard-Infrequent Access","2023-07-01","0","Inf","GB","0.0100000000","USD","API Request","AmazonS3","EU (Ireland)","AWS Region",,,,,,"S3-API-SIA-Select-Returned","Data Returned by S3 Select in Standard-Infrequent Access",,,,,,"EU-Select-Returned-SIA-Bytes","",,,,"eu-west-1","Amazon Simple Storage Service",
"BJ3FFD3RVZ4QMV5J","JRTCKXETXF","BJ3FFD3RVZ4QMV5J.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0 per GB for Standard-Retrieval-Bytes:IntAARestoreObject in Asia Pacific (Sydney)","2023-07-01","0","Inf","GB","0.0000000000","USD",,"AmazonS3","Asia Pacific (Sydney)","AWS Region",,,,,,"INT-AA-RestoreObject","Standard INT Retrieval",,,,,,"APS2-Standard-Retrieval-Bytes","IntAARestoreObject",,,,"ap-southeast-2","Amazon Simple Storage Service",
"BJ446HFXVXBCVFJJ","JRTCKXETXF","BJ446HFXVXBCVFJJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0033 per GB - Asia Pacific (Mumbai) InterRegion Inbound Base Data Transfer for MRAP to EU (London)","2023-07-01","0","Inf","GB","0.0033000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Inbound","Asia Pacific (Mumbai)","AWS Region","EU (London)","AWS Region","EUW2-APS3-MRAP-In-Bytes","MRAP-Dtransfer",,"ap-south-1",,,"Amazon Simple Storage Service","eu-west-2"
"BJ4QE5GWVKAMRA8K","JRTCKXETXF","BJ4QE5GWVKAMRA8K.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.1 per 10,000 GET and all other requests to Glacier Instant Retrieval","2023-07-01","0","Inf","Requests","0.0000100000","USD",,"AmazonS3","South America (Sao Paulo)","AWS Region",,,,,,"S3-API-GIR-Tier2","GET and all other requests to Glacier Instant Retrieval",,,,,,"SAE1-Requests-GIR-Tier2","",,,,"sa-east-1","Amazon Simple Storage Service",
"BJQHPKZ7KM3QWA98","JRTCKXETXF","BJQHPKZ7KM3QWA98.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per 10,000 tags in Milan","2023-07-01","0","Inf","Tag-Mo","0.0000010000","USD","Storage","AmazonS3","EU (Milan)","AWS Region","N/A","Tags","Tags",,,,,,,,,,"EUS1-TagStorage-TagHrs","","N/A",,,"eu-south-1","Amazon Simple Storage Service",
"BJVJ94QXVKK4NDXP","JRTCKXETXF","BJVJ94QXVKK4NDXP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0008 per GB - for bytes returned by S3 Select in Standard","2023-07-01","0","Inf","GB","0.0008000000","USD","API Request","AmazonS3","Middle East (UAE)","AWS Region",,,,,,"S3-API-Select-Returned","Data Returned by S3 Select in Standard",,,,,,"MEC1-Select-Returned-Bytes","",,,,"me-central-1","Amazon Simple Storage Service",
"BJZ935D8C7AMV8EM","JRTCKXETXF","BJZ935D8C7AMV8EM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.036 per GB for Expedited-Retrieval-Bytes:IntAARestoreObject in Asia Pacific (Hyderabad)","2023-07-01","0","Inf","GB","0.0360000000","USD",,"AmazonS3","Asia Pacific (Hyderabad)","AWS Region",,,,,,"INT-AA-RestoreObject","Expedited INT Retrieval",,,,,,"APS5-Expedited-Retrieval-Bytes","IntAARestoreObject",,,,"ap-south-2","Amazon Simple Storage Service",
"BK5QXRD7RY2CDEAF","JRTCKXETXF","BK5QXRD7RY2CDEAF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0054 per 1,000 PUT, COPY, POST, or LIST requests to Intelligent-Tiering","2023-07-01","0","Inf","Requests","0.0000054000","USD",,"AmazonS3","Europe (Zurich)","AWS Region",,,,,,"S3-API-INT-Tier1","PUT/COPY/POST or LIST requests to Intelligent-Tiering",,,,,,"EUC2-Requests-INT-Tier1","",,,,"eu-central-2","Amazon Simple Storage Service",
"BKCZ74TU3R5WRVS5","JRTCKXETXF","BKCZ74TU3R5WRVS5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.015 per GB - EU (Milan) Data Transfer for Replication Time Control to US West (Oregon)","2023-07-01","0","Inf","GB","0.0150000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Outbound","EU (Milan)","AWS Region","US West (Oregon)","AWS Region","EUS1-USW2-S3RTC-Out-Bytes","",,"eu-south-1",,,"Amazon Simple Storage Service","us-west-2"
"BKKG4QW2P33R6K73","JRTCKXETXF","BKKG4QW2P33R6K73.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.07 per GB - Middle East Data Transfer for Multi Region Access Points to Australia-Asia Pacific","2023-07-01","0","Inf","GB","0.0700000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Inbound","ME","AWS Region","AU","AWS Region","ME-AU-MRAP-In-Bytes","",,"",,,"Amazon Simple Storage Service",""
"BKQFQ6AZGTXWX3GV","JRTCKXETXF","BKQFQ6AZGTXWX3GV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.005 per 1,000 UploadPart for Replication Time Control to Glacier","2023-07-01","0","Inf","Requests","0.0000050000","USD",,"AmazonS3","EU (Ireland)","AWS Region",,,,,,"S3-API-GLACIER-Tier1","UploadPart for Replication Time Control to Glacier",,,,,,"EU-Requests-GLACIER-Tier1","UploadPartReplTime",,,,"eu-west-1","Amazon Simple Storage Service",
"BKVSBVVQHEM7WDBV","JRTCKXETXF","BKVSBVVQHEM7WDBV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0355 per GB-Month of storage used in GlacierStagingStorage","2023-07-01","0","Inf","GB-Mo","0.0355000000","USD","Storage","AmazonS3","AWS GovCloud (US-East)","AWS Region","N/A","Archive","Amazon Glacier Staging",,,,,,,,,,"UGE1-TimedStorage-GlacierStaging","","99.999999999%",,"Staging Storage","us-gov-east-1","Amazon Simple Storage Service",
"BM4C598PA56TCKQP","JRTCKXETXF","BM4C598PA56TCKQP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Mumbai) Data Transfer for Replication Time Control to US West (N. California)","2023-07-01","0","Inf","GB","0.0000000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Inbound","Asia Pacific (Mumbai)","AWS Region","US West (N. California)","AWS Region","USW1-APS3-S3RTC-In-Bytes","",,"ap-south-1",,,"Amazon Simple Storage Service","us-west-1"
"BM7DV3KTEGUTCMB4","JRTCKXETXF","BM7DV3KTEGUTCMB4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per MM objects per month for Storage Lens Free Tier to Asia Pacific (Tokyo)","2023-07-01","0","Inf","Objects","0.0000000000","USD","Fee","AmazonS3","Asia Pacific (Tokyo)","AWS Region",,,,"S3-StorageLensFreeTier","No charge for Free Tier Storage Lens",,,,,,,,"APN1-StorageLensFreeTier-ObjCount","StorageLens",,,,"ap-northeast-1","Amazon Simple Storage Service",
"BM9MWVA353XBGNNR","JRTCKXETXF","BM9MWVA353XBGNNR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.06 per GB - Africa Data Transfer for Multi Region Access Points to North America","2023-07-01","0","Inf","GB","0.0600000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Inbound","ZA","AWS Region","NA","AWS Region","ZA-NA-MRAP-In-Bytes","",,"",,,"Amazon Simple Storage Service",""
"BMBD8DCUDNQV9TSS","JRTCKXETXF","BMBD8DCUDNQV9TSS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.015 per GB - US East (Ohio) Data Transfer for Replication Time Control to Asia Pacific (Seoul)","2023-07-01","0","Inf","GB","0.0150000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Outbound","US East (Ohio)","AWS Region","Asia Pacific (Seoul)","AWS Region","USE2-APN2-S3RTC-Out-Bytes","",,"us-east-2",,,"Amazon Simple Storage Service","ap-northeast-2"
"BMC7GZB4YZRKJW8U","JRTCKXETXF","BMC7GZB4YZRKJW8U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - South America (Sao Paulo) Data Transfer for Replication Time Control to US West (N. California)","2023-07-01","0","Inf","GB","0.0000000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Inbound","South America (Sao Paulo)","AWS Region","US West (N. California)","AWS Region","USW1-SAE1-S3RTC-In-Bytes","",,"sa-east-1",,,"Amazon Simple Storage Service","us-west-1"
"BMECA7QHQFRNSGHM","JRTCKXETXF","BMECA7QHQFRNSGHM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.021 per GB-Month of storage used in GlacierStagingStorage","2023-07-01","0","Inf","GB-Mo","0.0210000000","USD","Storage","AmazonS3","US West (Oregon)","AWS Region","N/A","Archive","Amazon Glacier Staging",,,,,,,,,,"USW2-TimedStorage-GlacierStaging","","99.999999999%",,"Staging Storage","us-west-2","Amazon Simple Storage Service",
"BMMXB7CWKXZNJ9YS","JRTCKXETXF","BMMXB7CWKXZNJ9YS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.002 per Gigabyte Month for TimedStorage-INT-DAA-ByteHrs:IntelligentTieringDAAStorage in Asia Pacific (Tokyo)","2023-07-01","0","Inf","Gigabyte Month","0.0020000000","USD","Storage","AmazonS3","Asia Pacific (Tokyo)","AWS Region","N/A","Intelligent-Tiering","IntelligentTieringDeepArchiveAccess",,,,,,,,,,"APN1-TimedStorage-INT-DAA-ByteHrs","","N/A",,,"ap-northeast-1","Amazon Simple Storage Service",
"BMSHDU3X6GXNGNFB","JRTCKXETXF","BMSHDU3X6GXNGNFB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per 10,000 GET and all other requests  to One Zone-Infrequent Access","2023-07-01","0","Inf","Requests","0.0000010000","USD","API Request","AmazonS3","Asia Pacific (Melbourne)","AWS Region",,,,,,"S3-API-ZIA-Tier2","GET and all other requests to One Zone-Infrequent Access",,,,,,"APS6-Requests-ZIA-Tier2","",,,,"ap-southeast-4","Amazon Simple Storage Service",
"BMURRB46Y8M4YMY2","JRTCKXETXF","BMURRB46Y8M4YMY2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.015 per GB - Asia Pacific (Sydney) Data Transfer for Replication Time Control to Asia Pacific (Sydney)","2023-07-01","0","Inf","GB","0.0150000000","USD",,"AmazonS3",,,,,,,,,,"IntraRegion Outbound","Asia Pacific (Sydney)","AWS Region","Asia Pacific (Sydney)","AWS Region","APS2-APS2-S3RTC-Out-Bytes","",,"ap-southeast-2",,,"Amazon Simple Storage Service","ap-southeast-2"
"BN56J3RG828GR4QB","JRTCKXETXF","BN56J3RG828GR4QB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0047 per 1,000 PUT, COPY, POST, or LIST requests to Intelligent-Tiering","2023-07-01","0","Inf","Requests","0.0000047000","USD",,"AmazonS3","Asia Pacific (Tokyo)","AWS Region",,,,,,"S3-API-INT-Tier1","PUT/COPY/POST or LIST requests to Intelligent-Tiering",,,,,,"APN1-Requests-INT-Tier1","",,,,"ap-northeast-1","Amazon Simple Storage Service",
"BN5DXPH245QBPYXG","JRTCKXETXF","BN5DXPH245QBPYXG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US West (Oregon) Data Transfer for Replication Time Control to Europe (Zurich)","2023-07-01","0","Inf","GB","0.0000000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Inbound","US West (Oregon)","AWS Region","Europe (Zurich)","AWS Region","EUC2-USW2-S3RTC-In-Bytes","",,"us-west-2",,,"Amazon Simple Storage Service","eu-central-2"
"BN8N7ETBJSKZHM3F","JRTCKXETXF","BN8N7ETBJSKZHM3F.JRTCKXETXF.6YNURZBX9Y","OnDemand","$0.0326 per GB - first 1 TB / month of storage used - Reduced Redundancy Storage","2023-07-01","0","1024","GB-Mo","0.0326000000","USD","Storage","AmazonS3","South America (Sao Paulo)","AWS Region","99.99%","Non-Critical Data","Reduced Redundancy",,,,,,,,,,"SAE1-TimedStorage-RRS-ByteHrs","","99.99%",,,"sa-east-1","Amazon Simple Storage Service",
"BN8N7ETBJSKZHM3F","JRTCKXETXF","BN8N7ETBJSKZHM3F.JRTCKXETXF.QUZRP4P8Y4","OnDemand","$0.0320 per GB - next 49 TB / month of storage used - Reduced Redundancy Storage","2023-07-01","1024","51200","GB-Mo","0.0320000000","USD","Storage","AmazonS3","South America (Sao Paulo)","AWS Region","99.99%","Non-Critical Data","Reduced Redundancy",,,,,,,,,,"SAE1-TimedStorage-RRS-ByteHrs","","99.99%",,,"sa-east-1","Amazon Simple Storage Service",
"BN8N7ETBJSKZHM3F","JRTCKXETXF","BN8N7ETBJSKZHM3F.JRTCKXETXF.D42MF2PVJS","OnDemand","$0.0315 per GB - next 450 TB / month of storage used - Reduced Redundancy Storage","2023-07-01","51200","512000","GB-Mo","0.0315000000","USD","Storage","AmazonS3","South America (Sao Paulo)","AWS Region","99.99%","Non-Critical Data","Reduced Redundancy",,,,,,,,,,"SAE1-TimedStorage-RRS-ByteHrs","","99.99%",,,"sa-east-1","Amazon Simple Storage Service",
"BN8N7ETBJSKZHM3F","JRTCKXETXF","BN8N7ETBJSKZHM3F.JRTCKXETXF.YJ98HAVVPP","OnDemand","$0.0309 per GB - next 500 TB / month of storage used - Reduced Redundancy Storage","2023-07-01","512000","1024000","GB-Mo","0.0309000000","USD","Storage","AmazonS3","South America (Sao Paulo)","AWS Region","99.99%","Non-Critical Data","Reduced Redundancy",,,,,,,,,,"SAE1-TimedStorage-RRS-ByteHrs","","99.99%",,,"sa-east-1","Amazon Simple Storage Service",
"BN8N7ETBJSKZHM3F","JRTCKXETXF","BN8N7ETBJSKZHM3F.JRTCKXETXF.J25EHUHHDK","OnDemand","$0.0304 per GB - next 4000 TB / month of storage used - Reduced Redundancy Storage","2023-07-01","1024000","5120000","GB-Mo","0.0304000000","USD","Storage","AmazonS3","South America (Sao Paulo)","AWS Region","99.99%","Non-Critical Data","Reduced Redundancy",,,,,,,,,,"SAE1-TimedStorage-RRS-ByteHrs","","99.99%",,,"sa-east-1","Amazon Simple Storage Service",
"BN8N7ETBJSKZHM3F","JRTCKXETXF","BN8N7ETBJSKZHM3F.JRTCKXETXF.JR3K5QW8G3","OnDemand","$0.0299 per GB - storage used /  month over 5000 TB - Reduced Redundancy Storage","2023-07-01","5120000","Inf","GB-Mo","0.0299000000","USD","Storage","AmazonS3","South America (Sao Paulo)","AWS Region","99.99%","Non-Critical Data","Reduced Redundancy",,,,,,,,,,"SAE1-TimedStorage-RRS-ByteHrs","","99.99%",,,"sa-east-1","Amazon Simple Storage Service",
"BNCF9QE56QZXFQ3C","JRTCKXETXF","BNCF9QE56QZXFQ3C.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per GB - Korea-Asia Pacific Data Transfer for Multi Region Access Points to Korea-Asia Pacific","2023-07-01","0","Inf","GB","0.0100000000","USD",,"AmazonS3",,,,,,,,,,"IntraRegion Inbound","KR","AWS Region","KR","AWS Region","KR-KR-MRAP-In-Bytes","",,"",,,"Amazon Simple Storage Service",""
"BNHTNHKRJ48KT4WU","JRTCKXETXF","BNHTNHKRJ48KT4WU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.036 per 1,000 CopyObject requests to Glacier","2023-07-01","0","Inf","Requests","0.0000360000","USD",,"AmazonS3","Asia Pacific (Mumbai)","AWS Region",,,,,,"S3-API-GLACIER-Tier1","COPY requests to Glacier",,,,,,"APS3-Requests-GLACIER-Tier1","CopyObject",,,,"ap-south-1","Amazon Simple Storage Service",
"BNN5M3YV9YK4MGMG","JRTCKXETXF","BNN5M3YV9YK4MGMG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.015 per GB - EU (Stockholm) Data Transfer for Replication Time Control to Middle East (UAE)","2023-07-01","0","Inf","GB","0.0150000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Outbound","EU (Stockholm)","AWS Region","Middle East (UAE)","AWS Region","EUN1-MEC1-S3RTC-Out-Bytes","",,"eu-north-1",,,"Amazon Simple Storage Service","me-central-1"
"BNR2Z3D3BAFPTCUJ","JRTCKXETXF","BNR2Z3D3BAFPTCUJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.005 per GB-Month prorated for objects deleted or overwritten before 90 days in Glacier Instant Retrieval","2023-07-01","0","Inf","GB-Mo","0.0050000000","USD",,"AmazonS3","Middle East (UAE)","AWS Region",,,,"S3:EarlyDelete-GIR","Pro-rated fee for objects deleted before 90 days in Glacier Instant Retrieval volume",,,,,,,,"MEC1-EarlyDelete-GIR","",,,,"me-central-1","Amazon Simple Storage Service",
"BP4B5JS3Q43TYK2H","JRTCKXETXF","BP4B5JS3Q43TYK2H.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0045 per Gigabyte Month for TimedStorage-INT-AA-ByteHrs:INTAAObjectOverhead in Asia Pacific (Seoul)","2023-07-01","0","Inf","Gigabyte Month","0.0045000000","USD","Storage","AmazonS3","Asia Pacific (Seoul)","AWS Region","N/A","Intelligent-Tiering","INTAAObjectOverhead",,,,,,,,,,"APN2-TimedStorage-INT-AA-ByteHrs","INTAAObjectOverhead","N/A",,,"ap-northeast-2","Amazon Simple Storage Service",
"BPRJPV5TDSQ8R74Q","JRTCKXETXF","BPRJPV5TDSQ8R74Q.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0008 per GB - for bytes returned by S3 Select in Standard","2023-07-01","0","Inf","GB","0.0008000000","USD","API Request","AmazonS3","Asia Pacific (Tokyo)","AWS Region",,,,,,"S3-API-Select-Returned","Data Returned by S3 Select in Standard",,,,,,"APN1-Select-Returned-Bytes","",,,,"ap-northeast-1","Amazon Simple Storage Service",
"BQ2N9AWXZUCXDRW7","JRTCKXETXF","BQ2N9AWXZUCXDRW7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0318 per 1,000 CompleteMultipartUpload for Replication to Glacier","2023-07-01","0","Inf","Requests","0.0000318000","USD",,"AmazonS3","EU (Paris)","AWS Region",,,,,,"S3-API-GLACIER-Tier1","CompleteMultipartUpload for Replication to Glacier",,,,,,"EUW3-Requests-GLACIER-Tier1","CompleteMultipartUploadForRepl",,,,"eu-west-3","Amazon Simple Storage Service",
"BQ9SHUEJB3NTTAQW","JRTCKXETXF","BQ9SHUEJB3NTTAQW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Hong Kong) Data Transfer for Replication Time Control to EU (London)","2023-07-01","0","Inf","GB","0.0000000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Inbound","Asia Pacific (Hong Kong)","AWS Region","EU (London)","AWS Region","EUW2-APE1-S3RTC-In-Bytes","",,"ap-east-1",,,"Amazon Simple Storage Service","eu-west-2"
"BQA48AHNXZZ6PGD6","JRTCKXETXF","BQA48AHNXZZ6PGD6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Mumbai) Data Transfer for Replication Time Control to Canada (Central)","2023-07-01","0","Inf","GB","0.0000000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Inbound","Asia Pacific (Mumbai)","AWS Region","Canada (Central)","AWS Region","CAN1-APS3-S3RTC-In-Bytes","",,"ap-south-1",,,"Amazon Simple Storage Service","ca-central-1"
"BQD43SATQGZPH3YK","JRTCKXETXF","BQD43SATQGZPH3YK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00405 per Gigabyte Month for TimedStorage-INT-AA-ByteHrs:INTAAObjectOverhead in Canada (Central)","2023-07-01","0","Inf","Gigabyte Month","0.0040500000","USD","Storage","AmazonS3","Canada (Central)","AWS Region","N/A","Intelligent-Tiering","INTAAObjectOverhead",,,,,,,,,,"CAN1-TimedStorage-INT-AA-ByteHrs","INTAAObjectOverhead","N/A",,,"ca-central-1","Amazon Simple Storage Service",
"BQG33HHTMGHY2PBW","JRTCKXETXF","BQG33HHTMGHY2PBW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.042 per 1,000 CopyObject requests to Glacier","2023-07-01","0","Inf","Requests","0.0000420000","USD",,"AmazonS3","South America (Sao Paulo)","AWS Region",,,,,,"S3-API-GLACIER-Tier1","COPY requests to Glacier",,,,,,"SAE1-Requests-GLACIER-Tier1","CopyObject",,,,"sa-east-1","Amazon Simple Storage Service",
"BQQ9VEJXGDT5GS85","JRTCKXETXF","BQQ9VEJXGDT5GS85.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Melbourne) Data Transfer for Replication Time Control to EU (Paris)","2023-07-01","0","Inf","GB","0.0000000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Inbound","Asia Pacific (Melbourne)","AWS Region","EU (Paris)","AWS Region","EUW3-APS6-S3RTC-In-Bytes","",,"ap-southeast-4",,,"Amazon Simple Storage Service","eu-west-3"
"BQQEHYDSWNXGKE3Q","JRTCKXETXF","BQQEHYDSWNXGKE3Q.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.005 per GB-Month of storage used in Glacier Instant Retrieval","2023-07-01","0","Inf","GB-Mo","0.0050000000","USD","Storage","AmazonS3","Asia Pacific (Sydney)","AWS Region","99.9%","Archive Instant Retrieval","Glacier Instant Retrieval",,,,,,,,,,"APS2-TimedStorage-GIR-ByteHrs","","99.999999999%",,,"ap-southeast-2","Amazon Simple Storage Service",
"BQWJ9PFNXVJQWG6M","JRTCKXETXF","BQWJ9PFNXVJQWG6M.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.015 per GB - EU (Milan) Data Transfer for Replication Time Control to Middle East (Bahrain)","2023-07-01","0","Inf","GB","0.0150000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Outbound","EU (Milan)","AWS Region","Middle East (Bahrain)","AWS Region","EUS1-MES1-S3RTC-Out-Bytes","",,"eu-south-1",,,"Amazon Simple Storage Service","me-south-1"
"BQXGTBEUXCCN8A7V","JRTCKXETXF","BQXGTBEUXCCN8A7V.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0018 per Gigabyte Month for TimedStorage-INT-DAA-ByteHrs:IntelligentTieringDAAStorage in Europe (Spain)","2023-07-01","0","Inf","GB-Mo","0.0018000000","USD","Storage","AmazonS3","Europe (Spain)","AWS Region","N/A","Intelligent-Tiering","IntelligentTieringDeepArchiveAccess",,,,,,,,,,"EUS2-TimedStorage-INT-DAA-ByteHrs","","N/A",,,"eu-south-2","Amazon Simple Storage Service",
"BQYMPGHJYSXG4JU6","JRTCKXETXF","BQYMPGHJYSXG4JU6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.06 per 1,000 Lifecycle requests to Glacier Deep Archive in Asia Pacific (Sydney)","2023-07-01","0","Inf","Requests","0.0000600000","USD",,"AmazonS3","Asia Pacific (Melbourne)","AWS Region",,,,,,"S3-API-Tier3","Restore Object",,,,,,"APS6-Requests-Tier3","RestoreObject",,,,"ap-southeast-4","Amazon Simple Storage Service",
"BQYN73KFYEKFTCXT","JRTCKXETXF","BQYN73KFYEKFTCXT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0033 per GB - Asia Pacific (Osaka) InterRegion Inbound Base Data Transfer for MRAP to Australia (Sydney)","2023-07-01","0","Inf","GB","0.0033000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Inbound","Asia Pacific (Osaka)","AWS Region","Asia Pacific (Sydney)","AWS Region","APS2-APN3-MRAP-In-Bytes","MRAP-Dtransfer",,"ap-northeast-3",,,"Amazon Simple Storage Service","ap-southeast-2"
"BRBEGJ9YF329HQU2","JRTCKXETXF","BRBEGJ9YF329HQU2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - EU (Milan) Data Transfer for Replication Time Control to US East (Ohio)","2023-07-01","0","Inf","GB","0.0000000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Inbound","EU (Milan)","AWS Region","US East (Ohio)","AWS Region","USE2-EUS1-S3RTC-In-Bytes","",,"eu-south-1",,,"Amazon Simple Storage Service","us-east-2"
"BRDE588JVSNAD298","JRTCKXETXF","BRDE588JVSNAD298.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0056 per 10,000 GET and all other requests","2023-07-01","0","Inf","Requests","0.0000005600","USD","API Request","AmazonS3","South America (Sao Paulo)","AWS Region",,,,,,"S3-API-Tier2","GET and all other requests",,,,,,"SAE1-Requests-Tier2","",,,,"sa-east-1","Amazon Simple Storage Service",
"BRFA64ZAJ2DGWG4R","JRTCKXETXF","BRFA64ZAJ2DGWG4R.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Middle East (UAE) Data Transfer for Replication Time Control to Asia Pacific (Seoul)","2023-07-01","0","Inf","GB","0.0000000000","USD",,"AmazonS3",,,,,,,,,,"IntraRegion Inbound","Asia Pacific (Seoul)","AWS Region","Middle East (UAE)","AWS Region","APN2-MEC1-S3RTC-In-Bytes","",,"ap-northeast-2",,,"Amazon Simple Storage Service","me-central-1"
